#GPIO pin reference

GPIO NAME		GPIO PIN
TEGRA_GPIO_PX0		184
TEGRA_GPIO_PX1		185
TEGRA_GPIO_PX2		186
TEGRA_GPIO_PX3		187
TEGRA_GPIO_PX4		188
TEGRA_GPIO_PX5		189
TEGRA_GPIO_PX6		190
TEGRA_GPIO_PX7		191
TEGRA_GPIO_PY0		192
TEGRA_GPIO_PY1		193
TEGRA_GPIO_PY2		194
TEGRA_GPIO_PY3		195
TEGRA_GPIO_PY4		196
TEGRA_GPIO_PY5		197
TEGRA_GPIO_PY6		198
TEGRA_GPIO_PY7		199
TEGRA_GPIO_PZ0		200
TEGRA_GPIO_PZ1		201
TEGRA_GPIO_PZ2		202
TEGRA_GPIO_PZ3		203
TEGRA_GPIO_PZ4		204
TEGRA_GPIO_PZ5		205
TEGRA_GPIO_PZ6		206
TEGRA_GPIO_PZ7		207
TEGRA_GPIO_PAA0		208
TEGRA_GPIO_PAA1		209
TEGRA_GPIO_PAA2		210
TEGRA_GPIO_PAA3		211
TEGRA_GPIO_PAA4		212
TEGRA_GPIO_PAA5		213
TEGRA_GPIO_PAA6		214
TEGRA_GPIO_PAA7		215
TEGRA_GPIO_PBB0		216
TEGRA_GPIO_PBB1		217
TEGRA_GPIO_PBB2		218
TEGRA_GPIO_PBB3		219
TEGRA_GPIO_PBB4		220
TEGRA_GPIO_PBB5		221
TEGRA_GPIO_PBB6		222
TEGRA_GPIO_PBB7		223
TEGRA_GPIO_PCC0		224
TEGRA_GPIO_PCC1		225
TEGRA_GPIO_PCC2		226
TEGRA_GPIO_PCC3		227
TEGRA_GPIO_PCC4		228
TEGRA_GPIO_PCC5		229
TEGRA_GPIO_PCC6		230
TEGRA_GPIO_PCC7		231
TEGRA_GPIO_PDD0		232
TEGRA_GPIO_PDD1		233
TEGRA_GPIO_PDD2		234
TEGRA_GPIO_PDD3		235
TEGRA_GPIO_PDD4		236
TEGRA_GPIO_PDD5		237
TEGRA_GPIO_PDD6		238
TEGRA_GPIO_PDD7		239
TEGRA_GPIO_PEE0		240
TEGRA_GPIO_PEE1		241
TEGRA_GPIO_PEE2		242
TEGRA_GPIO_PEE3		243
TEGRA_GPIO_PEE4		244
TEGRA_GPIO_PEE5		245
TEGRA_GPIO_PEE6		246
TEGRA_GPIO_PEE7		247
TEGRA_GPIO_PFF0		248
TEGRA_GPIO_PFF1		249
TEGRA_GPIO_PFF2		250
TEGRA_GPIO_PFF3		251
TEGRA_GPIO_PFF4		252
TEGRA_GPIO_PFF5		253
TEGRA_GPIO_PFF6		254
TEGRA_GPIO_PFF7		255
